,100000
429,3.1627906976744184
430,3.1647331786542923
431,3.1666666666666665
432,3.168591224018476
433,3.1705069124423964
434,3.1724137931034484
435,3.1743119266055047
436,3.1762013729977117
437,3.1780821917808217
438,3.1799544419134396
439,3.172727272727273
440,3.165532879818594
441,3.167420814479638
442,3.1693002257336342
443,3.171171171171171
444,3.1730337078651685
445,3.1748878923766815
446,3.1767337807606264
447,3.1785714285714284
448,3.180400890868597
449,3.1822222222222223
450,3.1840354767184036
451,3.1769911504424777
452,3.1699779249448126
453,3.171806167400881
454,3.1736263736263735
455,3.175438596491228
456,3.177242888402626
457,3.1790393013100435
458,3.1721132897603486
459,3.1739130434782608
460,3.175704989154013
461,3.168831168831169
462,3.161987041036717
463,3.1551724137931036
464,3.156989247311828
465,3.1587982832618025
466,3.15203426124197
467,3.1452991452991452
468,3.1471215351812365
469,3.148936170212766
470,3.150743099787686
471,3.152542372881356
472,3.145877378435518
473,3.147679324894515
474,3.1494736842105264
475,3.1512605042016806
476,3.153039832285115
477,3.1548117154811717
478,3.1565762004175366
479,3.158333333333333
480,3.1600831600831603
481,3.1618257261410787
482,3.1552795031055902
483,3.15702479338843
484,3.158762886597938
485,3.1604938271604937
486,3.162217659137577
487,3.1557377049180326
488,3.1574642126789367
489,3.1510204081632653
490,3.1527494908350304
491,3.154471544715447
492,3.156186612576065
493,3.1578947368421053
494,3.1595959595959595
495,3.161290322580645
496,3.1549295774647885
497,3.1566265060240966
498,3.158316633266533
499,3.16
500,3.161676646706587
501,3.1633466135458166
502,3.165009940357853
503,3.1666666666666665
504,3.1683168316831685
505,3.1699604743083003
506,3.171597633136095
507,3.173228346456693
508,3.1669941060903732
509,3.16078431372549
510,3.162426614481409
511,3.1640625
512,3.165692007797271
513,3.159533073929961
514,3.1611650485436895
515,3.1550387596899223
516,3.1566731141199225
517,3.1505791505791505
518,3.1522157996146434
519,3.1538461538461537
520,3.147792706333973
521,3.1494252873563218
522,3.1510516252390057
523,3.1526717557251906
524,3.1542857142857144
525,3.1482889733840302
526,3.1499051233396584
527,3.143939393939394
528,3.145557655954631
529,3.147169811320755
530,3.1412429378531073
531,3.1353383458646618
532,3.1294559099437147
533,3.1310861423220975
534,3.1252336448598133
535,3.1194029850746268
536,3.1210428305400373
537,3.1226765799256504
538,3.12430426716141
539,3.1259259259259258
540,3.1275415896487986
541,3.129151291512915
542,3.130755064456722
543,3.1323529411764706
544,3.126605504587156
545,3.120879120879121
546,3.1224862888482634
547,3.124087591240876
548,3.1256830601092895
549,3.1272727272727274
550,3.128856624319419
551,3.130434782608696
552,3.132007233273056
553,3.1335740072202167
554,3.135135135135135
555,3.1366906474820144
556,3.1382405745062836
557,3.139784946236559
558,3.1413237924865833
559,3.142857142857143
560,3.144385026737968
561,3.1459074733096086
562,3.1403197158081704
563,3.141843971631206
564,3.1433628318584073
565,3.1448763250883394
566,3.146384479717813
567,3.147887323943662
568,3.149384885764499
569,3.150877192982456
570,3.1453590192644483
571,3.13986013986014
572,3.141361256544503
573,3.142857142857143
574,3.1443478260869564
575,3.1458333333333335
576,3.147313691507799
577,3.141868512110727
578,3.143350604490501
579,3.1448275862068966
580,3.1462994836488813
581,3.147766323024055
582,3.1492281303602057
583,3.143835616438356
584,3.1384615384615384
585,3.1399317406143346
586,3.13458262350937
587,3.1360544217687076
588,3.130730050933786
589,3.1322033898305084
590,3.1269035532994924
591,3.1216216216216215
592,3.123102866779089
593,3.1245791245791246
594,3.119327731092437
595,3.120805369127517
596,3.1222780569514237
597,3.1237458193979935
598,3.1185308848080133
599,3.12
600,3.1214642262895174
601,3.116279069767442
602,3.1177446102819237
603,3.119205298013245
604,3.1206611570247933
605,3.1155115511551155
606,3.116968698517298
607,3.1184210526315788
608,3.1198686371100166
609,3.121311475409836
610,3.11620294599018
611,3.1176470588235294
612,3.1190864600326265
613,3.1205211726384365
614,3.1219512195121952
615,3.1233766233766236
616,3.124797406807131
617,3.1262135922330097
618,3.127625201938611
619,3.129032258064516
620,3.130434782608696
621,3.12540192926045
622,3.1268057784911716
623,3.121794871794872
624,3.1232
625,3.1246006389776357
626,3.1196172248803826
627,3.1146496815286624
628,3.1160572337042924
629,3.1174603174603175
630,3.1188589540412046
631,3.1202531645569622
632,3.1216429699842023
633,3.1230283911671926
634,3.1244094488188976
635,3.1257861635220126
636,3.1271585557299844
637,3.128526645768025
638,3.1298904538341157
639,3.13125
640,3.1326053042121687
641,3.133956386292835
642,3.1290824261275274
643,3.130434782608696
644,3.125581395348837
645,3.1207430340557276
646,3.1221020092735703
647,3.123456790123457
648,3.1248073959938365
649,3.126153846153846
650,3.1274961597542243
651,3.1226993865030677
652,3.124042879019908
653,3.125382262996942
654,3.120610687022901
655,3.1219512195121952
656,3.1232876712328768
657,3.1246200607902734
658,3.125948406676783
659,3.121212121212121
660,3.122541603630862
661,3.123867069486405
662,3.125188536953243
663,3.1265060240963853
664,3.1278195488721803
665,3.123123123123123
666,3.1244377811094455
667,3.125748502994012
668,3.1210762331838566
669,3.1164179104477614
670,3.1177347242921014
671,3.119047619047619
672,3.1203566121842496
673,3.115727002967359
674,3.117037037037037
675,3.1183431952662723
676,3.119645494830133
677,3.1150442477876106
678,3.110456553755523
679,3.111764705882353
680,3.113069016152717
681,3.1143695014662756
682,3.115666178623719
683,3.1169590643274856
684,3.1124087591240874
685,3.1137026239067054
686,3.1149927219796214
687,3.116279069767442
688,3.1117561683599417
689,3.1130434782608694
690,3.114327062228654
691,3.115606936416185
692,3.111111111111111
693,3.112391930835735
694,3.1136690647482013
695,3.1149425287356323
696,3.116212338593974
697,3.1174785100286533
698,3.1187410586552216
699,3.12
700,3.1212553495007134
701,3.1225071225071224
702,3.12375533428165
703,3.125
704,3.126241134751773
705,3.1274787535410766
706,3.123055162659123
707,3.1186440677966103
708,3.1198871650211566
709,3.12112676056338
710,3.1167369901547115
711,3.1179775280898876
712,3.1192145862552594
713,3.1204481792717087
714,3.1216783216783215
715,3.122905027932961
716,3.1241283124128314
717,3.1253481894150417
718,3.1265646731571626
719,3.1277777777777778
720,3.128987517337032
721,3.1301939058171744
722,3.1258644536652835
723,3.1215469613259668
724,3.1227586206896554
725,3.12396694214876
726,3.125171939477304
727,3.120879120879121
728,3.122085048010974
729,3.1232876712328768
730,3.124487004103967
731,3.1256830601092895
732,3.121418826739427
733,3.11716621253406
734,3.1183673469387756
735,3.119565217391304
736,3.1207598371777476
737,3.1219512195121952
738,3.1177266576454667
739,3.118918918918919
740,3.1201079622132255
741,3.1212938005390836
742,3.1224764468371466
743,3.1236559139784945
744,3.124832214765101
745,3.1260053619302948
746,3.1271753681392234
747,3.128342245989305
748,3.129506008010681
749,3.1306666666666665
750,3.1264980026631157
751,3.127659574468085
752,3.1288180610889773
753,3.1246684350132625
754,3.1258278145695364
755,3.126984126984127
756,3.1281373844121534
757,3.129287598944591
758,3.130434782608696
759,3.1315789473684212
760,3.132720105124836
761,3.1338582677165356
762,3.134993446920052
763,3.130890052356021
764,3.1320261437908496
765,3.133159268929504
766,3.134289439374185
767,3.1354166666666665
768,3.1365409622886866
769,3.1324675324675324
770,3.133592736705577
771,3.1295336787564767
772,3.130659767141009
773,3.131782945736434
774,3.1329032258064515
775,3.134020618556701
776,3.135135135135135
777,3.1311053984575836
778,3.1270860077021823
779,3.128205128205128
780,3.1293213828425097
781,3.130434782608696
782,3.1264367816091956
783,3.127551020408163
784,3.128662420382166
785,3.1297709923664123
786,3.130876747141042
787,3.1319796954314723
788,3.1330798479087454
789,3.1341772151898732
790,3.1302149178255374
791,3.1313131313131315
792,3.132408575031526
793,3.133501259445844
794,3.1345911949685537
795,3.135678391959799
796,3.1317440401505645
797,3.1328320802005014
798,3.1289111389236544
799,3.13
800,3.1310861423220975
801,3.1321695760598502
802,3.133250311332503
803,3.1343283582089554
804,3.1354037267080743
805,3.1364764267990073
806,3.137546468401487
807,3.1386138613861387
808,3.1396786155747836
809,3.140740740740741
810,3.1418002466091246
811,3.142857142857143
812,3.143911439114391
813,3.1449631449631448
814,3.1460122699386504
815,3.1470588235294117
816,3.1432068543451654
817,3.1442542787286065
818,3.1452991452991452
819,3.1463414634146343
820,3.1425091352009744
821,3.1435523114355233
822,3.1445929526123937
823,3.145631067961165
824,3.1466666666666665
825,3.1476997578692494
826,3.1438935912938333
827,3.1449275362318843
828,3.145958986731001
829,3.146987951807229
830,3.148014440433213
831,3.1490384615384617
832,3.150060024009604
833,3.1510791366906474
834,3.1520958083832333
835,3.15311004784689
836,3.154121863799283
837,3.155131264916468
838,3.156138259833135
839,3.157142857142857
840,3.1533888228299642
841,3.1543942992874108
842,3.155397390272835
843,3.1516587677725116
844,3.152662721893491
845,3.1536643026004727
846,3.154663518299882
847,3.1556603773584904
848,3.1519434628975267
849,3.152941176470588
850,3.153936545240893
851,3.1549295774647885
852,3.155920281359906
853,3.1569086651053864
854,3.153216374269006
855,3.1542056074766354
856,3.1551925320886816
857,3.156177156177156
858,3.157159487776484
859,3.158139534883721
860,3.154471544715447
861,3.1554524361948957
862,3.1564310544611818
863,3.1574074074074074
864,3.1583815028901734
865,3.1547344110854505
866,3.1510957324106115
867,3.1474654377880182
868,3.148446490218642
869,3.1494252873563218
870,3.145809414466131
871,3.1422018348623855
872,3.143184421534937
873,3.1441647597254003
874,3.145142857142857
875,3.141552511415525
876,3.142531356898518
877,3.138952164009112
878,3.1399317406143346
879,3.140909090909091
880,3.1418842224744608
881,3.142857142857143
882,3.1438278595696487
883,3.1447963800904977
884,3.145762711864407
885,3.146726862302483
886,3.1476888387824125
887,3.144144144144144
888,3.1451068616422946
889,3.146067415730337
890,3.1470258136924802
891,3.1479820627802693
892,3.148936170212766
893,3.149888143176734
894,3.1508379888268156
895,3.1517857142857144
896,3.15273132664437
897,3.153674832962138
898,3.154616240266963
899,3.1555555555555554
900,3.1564927857935627
901,3.1574279379157426
902,3.1539313399778517
903,3.1548672566371683
904,3.1513812154696135
905,3.1479028697571745
906,3.1488423373759646
907,3.149779735682819
908,3.150715071507151
909,3.1516483516483516
910,3.1525795828759606
911,3.1535087719298245
912,3.154435925520263
913,3.1553610503282274
914,3.1562841530054646
915,3.1572052401746724
916,3.158124318429662
917,3.159041394335512
918,3.1599564744287267
919,3.1608695652173915
920,3.1617806731813247
921,3.1626898047722345
922,3.1635969664138677
923,3.1645021645021645
924,3.1654054054054055
925,3.166306695464363
926,3.1672060409924487
927,3.168103448275862
928,3.168998923573735
929,3.1698924731182796
930,3.1664876476906554
931,3.167381974248927
932,3.1639871382636655
933,3.1605995717344753
934,3.1614973262032087
935,3.1623931623931623
936,3.1632870864461045
937,3.1641791044776117
938,3.16506922257721
939,3.1617021276595745
940,3.1583421891604675
941,3.159235668789809
942,3.1601272534464475
943,3.1610169491525424
944,3.157671957671958
945,3.1543340380549685
946,3.1552270327349525
947,3.1561181434599157
948,3.1570073761854585
949,3.1578947368421053
950,3.1587802313354363
951,3.1596638655462184
952,3.156348373557188
953,3.153039832285115
954,3.149738219895288
955,3.1506276150627617
956,3.1515151515151514
957,3.152400835073069
958,3.1491136600625653
959,3.15
960,3.150884495317378
961,3.1517671517671517
962,3.1526479750778815
963,3.1535269709543567
964,3.15440414507772
965,3.1552795031055902
966,3.156153050672182
967,3.15702479338843
968,3.1578947368421053
969,3.158762886597938
970,3.155509783728115
971,3.156378600823045
972,3.157245632065776
973,3.158110882956879
974,3.158974358974359
975,3.1598360655737703
976,3.156601842374616
977,3.1533742331288344
978,3.1501532175689477
979,3.1510204081632653
980,3.1518858307849134
981,3.1527494908350304
982,3.153611393692777
983,3.154471544715447
984,3.155329949238579
985,3.152129817444219
986,3.148936170212766
987,3.1497975708502026
988,3.1506572295247723
989,3.1474747474747473
990,3.148335015136226
991,3.149193548387097
992,3.1460221550855993
993,3.142857142857143
994,3.1396984924623115
995,3.140562248995984
996,3.141424272818455
997,3.1382765531062122
998,3.139139139139139
999,3.14
1000,3.136863136863137
1001,3.1377245508982035
1002,3.1385842472582253
1003,3.139442231075697
1004,3.136318407960199
1005,3.137176938369781
1006,3.138033763654419
1007,3.138888888888889
1008,3.1397423191278495
1009,3.1405940594059407
1010,3.141444114737883
1011,3.142292490118577
1012,3.1431391905231982
1013,3.1400394477317555
1014,3.1369458128078818
1015,3.1377952755905514
1016,3.1386430678466075
1017,3.1394891944990175
1018,3.136408243375859
1019,3.1372549019607843
1020,3.138099902056807
1021,3.1389432485322897
1022,3.139784946236559
1023,3.140625
1024,3.1414634146341465
1025,3.142300194931774
1026,3.143135345666991
1027,3.1439688715953307
1028,3.1448007774538387
1029,3.145631067961165
1030,3.146459747817653
1031,3.143410852713178
1032,3.144240077444337
1033,3.1450676982591874
1034,3.145893719806763
1035,3.146718146718147
1036,3.1436837029893923
1037,3.1445086705202314
