0,6
1,6
2,6
3,4.5
4,4.8
5,4
6,4.28571428571429
7,4.5
8,4
9,4.2
10,4.36363636363636
11,4
12,4.15384615384615
13,4.28571428571429
14,4.4
15,4.5
16,4.23529411764706
17,4
18,4.10526315789474
19,4.2
20,4
21,3.81818181818182
22,3.91304347826087
23,4
24,3.84
25,3.92307692307692
26,3.77777777777778
27,3.64285714285714
28,3.51724137931034
29,3.6
30,3.67741935483871
31,3.75
32,3.63636363636364
33,3.70588235294118
34,3.77142857142857
35,3.66666666666667
36,3.72972972972973
37,3.63157894736842
38,3.53846153846154
39,3.45
40,3.51219512195122
41,3.42857142857143
42,3.34883720930233
43,3.27272727272727
44,3.33333333333333
45,3.26086956521739
46,3.31914893617021
47,3.25
48,3.18367346938775
49,3.12
50,3.05882352941176
51,3
52,3.05660377358491
53,3
54,3.05454545454545
55,3
56,3.05263157894737
57,3.10344827586207
58,3.05084745762712
59,3.1
60,3.04918032786885
61,3.09677419354839
62,3.04761904761905
63,3.09375
64,3.13846153846154
65,3.09090909090909
66,3.04477611940298
67,3.08823529411765
68,3.04347826086957
69,3.08571428571429
70,3.04225352112676
71,3
72,3.04109589041096
73,3
74,3.04
75,3
76,3.03896103896104
77,3.07692307692308
78,3.11392405063291
79,3.075
80,3.03703703703704
81,3
82,2.96385542168675
83,2.92857142857143
84,2.96470588235294
85,2.93023255813953
86,2.89655172413793
87,2.86363636363636
88,2.8314606741573
89,2.86666666666667
90,2.83516483516483
91,2.8695652173913
92,2.83870967741935
93,2.87234042553191
94,2.84210526315789
95,2.875
96,2.90721649484536
97,2.93877551020408
98,2.90909090909091
99,2.88
