,100000
0,6.0
1,6.0
2,4.0
3,3.0
4,2.4000000000000004
5,3.0
6,2.571428571428571
7,3.0
8,3.3333333333333335
9,3.5999999999999996
10,3.2727272727272725
11,3.5
12,3.6923076923076925
13,3.8571428571428577
14,4.0
15,3.75
16,3.882352941176471
17,4.0
18,3.789473684210526
19,3.5999999999999996
20,3.7142857142857144
21,3.8181818181818183
22,3.6521739130434785
23,3.5
24,3.5999999999999996
25,3.6923076923076925
26,3.5555555555555554
27,3.6428571428571423
28,3.5172413793103443
29,3.5999999999999996
30,3.483870967741936
31,3.375
32,3.454545454545455
33,3.3529411764705883
34,3.4285714285714284
35,3.3333333333333335
36,3.4054054054054053
37,3.3157894736842106
38,3.3846153846153846
39,3.4499999999999997
40,3.3658536585365857
41,3.285714285714286
42,3.3488372093023253
43,3.409090909090909
44,3.4666666666666663
45,3.521739130434783
46,3.574468085106383
47,3.625
48,3.5510204081632653
49,3.5999999999999996
50,3.5294117647058822
51,3.5769230769230766
52,3.5094339622641506
53,3.4444444444444446
54,3.4909090909090907
55,3.4285714285714284
56,3.3684210526315788
57,3.413793103448276
58,3.457627118644068
59,3.4
60,3.442622950819672
61,3.387096774193549
62,3.3333333333333335
63,3.375
64,3.3230769230769233
65,3.3636363636363633
66,3.4029850746268657
67,3.3529411764705883
68,3.3043478260869565
69,3.257142857142857
70,3.2112676056338025
71,3.166666666666667
72,3.1232876712328768
73,3.162162162162162
74,3.2
75,3.236842105263158
76,3.2727272727272725
77,3.230769230769231
78,3.2658227848101267
79,3.2249999999999996
80,3.185185185185185
81,3.2195121951219514
82,3.1807228915662655
83,3.1428571428571432
84,3.105882352941177
85,3.0697674418604652
86,3.1034482758620694
87,3.0681818181818183
88,3.1011235955056184
89,3.1333333333333337
90,3.164835164835165
91,3.1304347826086953
92,3.096774193548387
93,3.0638297872340425
94,3.0947368421052635
95,3.0625
96,3.092783505154639
97,3.122448979591837
98,3.090909090909091
99,3.06
100,3.089108910891089
101,3.11764705882353
102,3.145631067961165
103,3.1730769230769234
104,3.2
105,3.2264150943396226
106,3.1962616822429903
107,3.2222222222222223
108,3.2477064220183482
109,3.2181818181818183
110,3.1891891891891895
111,3.2142857142857144
112,3.1858407079646023
113,3.1578947368421053
114,3.1304347826086953
115,3.155172413793103
116,3.1282051282051286
117,3.101694915254237
118,3.07563025210084
119,3.1000000000000005
120,3.1239669421487606
121,3.1475409836065573
122,3.1707317073170733
123,3.193548387096774
124,3.168
125,3.1904761904761907
126,3.212598425196851
127,3.234375
128,3.2558139534883717
129,3.230769230769231
130,3.2519083969465647
131,3.2727272727272725
132,3.293233082706767
133,3.268656716417911
134,3.2888888888888888
135,3.264705882352941
136,3.240875912408759
137,3.260869565217391
138,3.237410071942446
139,3.257142857142857
140,3.276595744680851
141,3.253521126760564
142,3.2727272727272725
143,3.291666666666667
144,3.310344827586207
145,3.287671232876712
146,3.3061224489795915
147,3.2837837837837833
148,3.302013422818792
149,3.28
150,3.298013245033113
151,3.3157894736842106
152,3.3333333333333335
153,3.35064935064935
154,3.367741935483871
155,3.3461538461538463
156,3.3630573248407645
157,3.3417721518987342
158,3.3207547169811322
159,3.3000000000000003
160,3.316770186335404
161,3.2962962962962963
162,3.3128834355828225
163,3.329268292682927
164,3.309090909090909
165,3.289156626506024
166,3.269461077844311
167,3.25
168,3.230769230769231
169,3.211764705882353
170,3.2280701754385963
171,3.209302325581395
172,3.2254335260115607
173,3.2413793103448274
174,3.257142857142857
175,3.2386363636363638
176,3.2542372881355934
177,3.235955056179775
178,3.217877094972067
179,3.2333333333333334
180,3.2486187845303864
181,3.2637362637362637
182,3.278688524590164
183,3.260869565217391
184,3.2432432432432434
185,3.225806451612903
186,3.240641711229947
187,3.25531914893617
188,3.2698412698412698
189,3.2526315789473683
190,3.2356020942408374
191,3.25
192,3.233160621761658
193,3.247422680412371
194,3.2615384615384615
195,3.2448979591836737
196,3.2284263959390858
197,3.212121212121212
198,3.1959798994974875
199,3.18
200,3.1940298507462686
201,3.207920792079208
202,3.1921182266009853
203,3.2058823529411766
204,3.2195121951219514
205,3.203883495145631
206,3.1884057971014492
207,3.2019230769230766
208,3.215311004784689
209,3.2285714285714286
210,3.213270142180095
211,3.2264150943396226
212,3.2112676056338025
213,3.2242990654205608
214,3.209302325581395
215,3.1944444444444446
216,3.1797235023041477
217,3.1651376146788985
218,3.1780821917808217
219,3.163636363636363
220,3.1764705882352944
221,3.1891891891891895
222,3.201793721973094
223,3.2142857142857144
224,3.2
225,3.212389380530974
226,3.224669603524229
227,3.236842105263158
228,3.248908296943232
229,3.260869565217391
230,3.2467532467532467
231,3.2327586206896557
232,3.2188841201716736
233,3.230769230769231
234,3.2425531914893617
235,3.2542372881355934
236,3.2405063291139236
237,3.2521008403361344
238,3.2635983263598325
239,3.25
240,3.236514522821577
241,3.2231404958677685
242,3.234567901234568
243,3.221311475409836
244,3.23265306122449
245,3.2195121951219514
246,3.2064777327935223
247,3.217741935483871
248,3.2289156626506026
249,3.216
250,3.2270916334661353
251,3.238095238095238
252,3.225296442687747
253,3.2362204724409454
254,3.223529411764706
255,3.2109375
256,3.198443579766537
257,3.1860465116279073
258,3.196911196911197
259,3.207692307692308
260,3.195402298850575
261,3.1832061068702293
262,3.1939163498098857
263,3.204545454545454
264,3.2150943396226417
265,3.2255639097744364
266,3.235955056179775
267,3.2238805970149254
268,3.2342007434944238
269,3.2222222222222223
270,3.210332103321033
271,3.1985294117647056
272,3.186813186813187
273,3.1751824817518246
274,3.1854545454545455
275,3.195652173913044
276,3.184115523465704
277,3.1726618705035974
278,3.161290322580645
279,3.1714285714285717
280,3.181494661921708
281,3.1914893617021276
282,3.2014134275618376
283,3.2112676056338025
284,3.2
285,3.1888111888111887
286,3.1777003484320554
287,3.1875
288,3.1972318339100343
289,3.186206896551724
290,3.175257731958763
291,3.184931506849315
292,3.1740614334470987
293,3.183673469387755
294,3.193220338983051
295,3.1824324324324325
296,3.171717171717172
297,3.1812080536912752
298,3.1705685618729094
299,3.1599999999999997
300,3.149501661129568
301,3.1390728476821192
302,3.1485148514851486
303,3.138157894736842
304,3.127868852459016
305,3.1372549019607847
306,3.1270358306188926
307,3.1363636363636362
308,3.145631067961165
309,3.154838709677419
310,3.144694533762058
311,3.134615384615385
312,3.143769968051118
313,3.1337579617834397
314,3.1428571428571432
315,3.151898734177215
